PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;102;82;28079102_82_98;2022;02;11;62;V;54;V;71;V;79;V;48;V;58;V;38;V;13;V;51;V;48;V;23;V;3;V;39;V;62;V;74;V;1;V;114;V;85;V;80;V;78;V;71;V;65;V;66;V;68;V
28;079;102;82;28079102_82_98;2022;02;12;61;V;52;V;48;V;21;V;52;V;64;V;47;V;36;V;65;V;71;V;72;V;76;V;87;V;76;V;78;V;140;V;185;V;179;V;255;V;243;V;243;V;243;V;00000;N;00000;N
28;079;102;82;28079102_82_98;2022;02;13;248;V;246;V;176;V;167;V;184;V;229;V;205;V;140;V;153;V;191;V;207;V;252;V;251;V;262;V;230;V;244;V;237;V;242;V;260;V;240;V;236;V;253;V;243;V;254;V
28;079;102;82;28079102_82_98;2022;02;14;256;V;253;V;240;V;258;V;255;V;272;V;274;V;267;V;264;V;257;V;267;V;252;V;266;V;281;V;285;V;283;V;275;V;248;V;293;V;260;V;267;V;269;V;255;V;263;V
28;079;102;82;28079102_82_98;2022;02;15;266;V;258;V;269;V;264;V;276;V;4;V;34;V;21;V;305;V;259;V;38;V;122;V;203;V;222;V;248;V;239;V;251;V;246;V;246;V;239;V;266;V;258;V;258;V;274;V
28;079;102;82;28079102_82_98;2022;02;16;242;V;263;V;55;V;36;V;1;V;115;V;274;V;138;V;137;V;132;V;184;V;238;V;272;V;241;V;242;V;235;V;286;V;295;V;271;V;282;V;272;V;259;V;12;V;8;V
28;079;102;82;28079102_82_98;2022;02;17;16;V;59;V;21;V;23;V;26;V;38;V;73;V;26;V;56;V;87;V;62;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;102;82;28079102_82_98;2022;02;20;75;N;52;V;39;V;41;V;14;V;59;V;29;V;31;V;10;V;75;V;72;V;67;V;34;V;71;V;64;V;29;V;18;V;69;V;55;V;128;V;257;V;271;V;271;V;45;V
28;079;102;82;28079102_82_98;2022;02;21;59;V;19;V;32;V;27;V;62;V;39;V;32;V;85;V;77;V;80;V;95;V;242;V;12;V;13;V;45;V;16;V;51;V;1;V;12;V;30;V;12;V;21;V;2;V;38;V
28;079;102;82;28079102_82_98;2022;02;22;57;V;30;V;12;V;51;V;95;V;70;V;68;V;52;V;68;V;69;V;66;V;58;V;8;V;21;V;37;V;3;V;12;V;67;V;66;V;68;V;70;V;56;V;52;V;4;V
28;079;102;82;28079102_82_98;2022;02;23;55;V;52;V;43;V;33;V;33;V;46;V;49;V;50;V;58;V;29;V;39;V;54;V;23;V;50;V;55;V;24;V;32;V;138;V;255;V;50;V;49;V;68;V;75;V;88;V
28;079;102;82;28079102_82_98;2022;02;24;84;V;42;V;70;V;50;V;8;V;67;V;24;V;22;V;59;V;66;V;66;V;53;V;56;V;60;V;88;V;72;V;35;V;41;V;356;V;10;V;2;V;11;V;55;V;61;V
28;079;102;82;28079102_82_98;2022;02;25;54;V;65;V;24;V;49;V;13;V;43;V;63;V;65;V;65;V;52;V;35;V;51;V;56;V;41;V;52;V;48;V;54;V;28;V;35;V;35;V;57;V;77;V;68;V;70;V
28;079;102;82;28079102_82_98;2022;02;26;59;V;63;V;73;V;68;V;60;V;62;V;71;V;64;V;79;V;74;V;67;V;69;V;43;V;75;V;59;V;91;V;114;V;112;V;99;V;108;V;120;V;91;V;106;V;107;V
28;079;102;82;28079102_82_98;2022;02;27;109;V;96;V;109;V;104;V;123;V;84;V;84;V;84;V;76;V;64;V;69;V;72;V;80;V;68;V;7;V;14;V;73;V;48;V;80;V;125;V;270;V;272;V;268;V;56;V
28;079;102;82;28079102_82_98;2022;02;28;5;V;274;V;49;V;7;V;4;V;9;V;1;V;25;V;72;V;21;V;68;V;70;V;124;V;152;V;152;V;212;V;206;V;236;V;217;V;228;V;221;V;237;V;250;V;257;V
