PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;102;82;2023;2;18;88;V;51;V;52;V;16;V;48;V;51;V;53;V;53;V;38;V;53;V;50;V;43;V;21;V;61;V;47;V;74;V;68;V;82;V;64;V;26;V;34;V;42;V;83;V;92;V
28;79;102;82;2023;2;19;36;V;27;V;22;V;53;V;16;V;26;V;61;V;61;V;27;V;48;V;49;V;71;V;57;V;47;V;53;V;54;V;82;V;65;V;61;V;65;V;103;V;99;V;78;V;73;V
28;79;102;82;2023;2;20;80;V;111;V;28;V;31;V;4;V;8;V;23;V;11;V;45;V;39;V;11;V;43;V;65;V;87;V;75;V;65;V;69;V;131;V;135;V;131;V;143;V;137;V;127;V;131;V
28;79;102;82;2023;2;21;95;V;57;V;10;V;54;V;75;V;65;V;68;V;40;V;35;V;65;V;24;V;41;V;49;V;68;V;85;V;163;V;152;V;199;V;252;V;248;V;253;V;246;V;246;V;241;V
28;79;102;82;2023;2;22;271;V;266;V;203;V;74;V;67;V;53;V;78;V;2;V;17;V;55;V;57;V;42;V;72;V;90;V;67;V;19;V;195;V;197;V;197;V;212;V;255;V;249;V;241;V;253;V
28;79;102;82;2023;2;23;232;V;164;V;159;V;167;V;240;V;153;V;203;V;166;V;113;V;196;V;166;V;241;V;219;V;247;V;194;V;231;V;283;V;237;V;263;V;272;V;264;V;233;V;283;V;270;V
28;79;102;82;2023;2;24;270;V;288;V;284;V;77;V;60;V;72;V;117;V;123;V;115;V;69;V;79;V;84;V;104;V;104;V;101;V;156;V;158;V;169;V;215;V;257;V;240;V;264;V;266;V;256;V
28;79;102;82;2023;2;25;287;V;124;V;102;V;53;V;29;V;73;V;66;V;50;V;51;V;52;V;106;V;84;V;131;V;162;V;178;V;178;V;183;V;63;V;66;V;6;V;113;V;215;V;230;V;261;V
28;79;102;82;2023;2;26;261;V;45;V;17;V;264;V;222;V;81;V;46;V;26;V;0;V;23;V;130;V;241;V;15;V;10;V;50;V;21;V;56;V;30;V;51;V;34;V;30;V;24;V;33;V;24;V
28;79;102;82;2023;2;27;18;V;41;V;55;V;47;V;46;V;3;V;2;V;31;V;0;V;22;V;14;V;1;V;13;V;10;V;4;V;18;V;18;V;23;V;0;V;4;V;56;V;10;V;1;V;25;V
28;79;102;82;2023;2;28;0;V;13;V;34;V;31;V;19;V;241;V;104;V;129;V;74;V;81;V;46;V;105;V;26;V;30;V;190;V;7;V;53;V;39;V;34;V;33;V;52;V;63;V;40;V;51;V
28;79;102;83;2023;2;1;2.6;V;1.6;V;0.8;V;0.2;V;0.3;V;-0.4;V;-0.5;V;-0.9;V;-1.2;V;-0.7;V;0.5;V;1.9;V;3.6;V;4.9;V;6.5;V;7.8;V;9;V;9.5;V;9.3;V;8;V;6.4;V;5.9;V;5.7;V;4.9;V
28;79;102;83;2023;2;2;3.5;V;2.7;V;2.1;V;1.4;V;0.9;V;0.3;V;0.1;V;-0.3;V;-1.2;V;-0.5;V;0.8;V;3.4;V;6.1;V;7.7;V;9.7;V;10.5;V;10.9;V;11;V;10.4;V;9.2;V;8.5;V;7.8;V;7.1;V;6.6;V
28;79;102;83;2023;2;3;5.5;V;4.2;V;2.9;V;2.3;V;1.4;V;1.1;V;0.3;V;-0.2;V;-0.7;V;0.1;V;2.8;V;3.8;V;6.1;V;8.9;V;11.2;V;12.8;V;13.1;V;13.1;V;12.7;V;11.8;V;10.7;V;10.3;V;9.1;V;8;V
28;79;102;83;2023;2;4;6.7;V;5.3;V;3.7;V;2.8;V;2.1;V;1.8;V;1.1;V;1.1;V;1.2;V;0.4;V;2.5;V;6.3;V;7.5;V;10.8;V;11.6;V;13.9;V;14.9;V;14.9;V;15.2;V;13.7;V;12.1;V;10.3;V;9.2;V;8.3;V
28;79;102;83;2023;2;5;7.6;V;5.2;V;4.3;V;4.6;V;4.5;V;3.9;V;3.8;V;3.6;V;2.8;V;2.5;V;3.5;V;5;V;6.9;V;9.4;V;11.9;V;13.6;V;14.1;V;14.2;V;14.4;V;13.2;V;12.5;V;11.8;V;9.8;V;8.5;V
28;79;102;83;2023;2;6;7.3;V;6.3;V;4.9;V;4.1;V;3;V;3.2;V;3.2;V;2.1;V;0.9;V;1.8;V;5;V;4.2;V;4.8;V;5.3;V;5.8;V;6.5;V;7.7;V;7.4;V;7.4;V;5.6;V;4.2;V;3.9;V;3.5;V;3.1;V
28;79;102;83;2023;2;7;2.4;V;1.7;V;1;V;0.3;V;0;V;0;V;-0.2;V;-0.2;V;-0.2;V;-0.1;V;-0.6;V;-0.2;V;1.9;V;3.7;V;3.9;V;4.9;V;4.7;V;5.2;V;4.9;V;3.1;V;2.1;V;1.7;V;2;V;2;V
28;79;102;83;2023;2;8;2;V;0.3;V;-0.2;V;-0.1;V;0;V;-0;V;-0.4;V;-0.4;V;-0.3;V;0;V;0.6;V;2;V;3.7;V;5.6;V;5.8;V;6.3;V;6.5;V;6.9;V;7;V;6.9;V;6.4;V;5.8;V;5.1;V;4.4;V
28;79;102;83;2023;2;9;4;V;3.4;V;3;V;2.5;V;2.3;V;2.2;V;1.8;V;1.6;V;1.9;V;2.1;V;2.9;V;3.4;V;4.4;V;4.3;V;5.3;V;7.8;V;7.7;V;7.7;V;6.9;V;5.9;V;5.4;V;4.9;V;4.1;V;2.9;V
28;79;102;83;2023;2;10;2.4;V;1.8;V;1.4;V;1;V;0.3;V;-0.3;V;-0.6;V;-0.5;V;-0.6;V;-0.5;V;0.2;V;1.6;V;3.5;V;4.4;V;3.8;V;5.2;V;5.6;V;5.9;V;5.7;V;5.3;V;4.5;V;3.8;V;3;V;2.4;V
28;79;102;83;2023;2;11;1.7;V;1.2;V;0.7;V;0.1;V;-0.3;V;-1.1;V;-2;V;-2.2;V;-2;V;-1.8;V;-0.7;V;0.7;V;2.2;V;3.8;V;4.8;V;5.6;V;6.9;V;7.3;V;6.8;V;5.8;V;4.8;V;3.9;V;3.1;V;2.4;V
28;79;102;83;2023;2;12;1.7;V;1.2;V;0.8;V;0.3;V;-0.1;V;-0.9;V;-1.2;V;-1.4;V;-1.3;V;-1;V;0.2;V;2;V;2.8;V;4;V;5.6;V;7;V;7.9;V;8;V;7.8;V;7.4;V;6.2;V;4.9;V;4.1;V;3.5;V
28;79;102;83;2023;2;13;3;V;2.4;V;2;V;1.3;V;0.7;V;0;V;-0.1;V;-0.2;V;-0.4;V;-0.3;V;0.6;V;2.2;V;2.9;V;4.8;V;5.6;V;5.9;V;6.1;V;6.6;V;7.1;V;6.5;V;5.4;V;4.7;V;4.2;V;4.1;V
28;79;102;83;2023;2;14;3.7;V;2.8;V;2.2;V;1.5;V;1.4;V;1.3;V;1.8;V;1.3;V;0.9;V;1;V;1;V;2.6;V;3.5;V;4.5;V;5.3;V;6.1;V;6.9;V;6.4;V;6.7;V;6.1;V;5.1;V;4.6;V;4.2;V;4;V
28;79;102;83;2023;2;15;3.6;V;3.2;V;2.5;V;2.2;V;2.1;V;2.6;V;2.7;V;2.3;V;2;V;2.2;V;3.8;V;4.8;V;6.2;V;7.3;V;8.2;V;9;V;9.7;V;10.1;V;9.6;V;9.3;V;8.7;V;8.2;V;7.6;V;6.2;V
28;79;102;83;2023;2;16;6.3;V;5.2;V;4.4;V;3.2;V;2.3;V;2;V;2;V;2;V;1.1;V;1.5;V;2.7;V;4.7;V;6.2;V;8;V;9.6;V;10.8;V;11.5;V;11.9;V;11.8;V;11.5;V;11;V;9.4;V;7.9;V;7.1;V
28;79;102;83;2023;2;17;6;V;4.9;V;4.5;V;3.5;V;3;V;2.4;V;1.7;V;0.9;V;0.3;V;0.1;V;1.7;V;3.2;V;5.6;V;7.8;V;9.3;V;10.9;V;11.8;V;12;V;12.1;V;11.7;V;10.8;V;9.9;V;9;V;8.1;V
28;79;102;83;2023;2;18;7.3;V;6.1;V;4.5;V;3.6;V;3.1;V;2.7;V;2.5;V;2.2;V;2.6;V;2.7;V;2.7;V;3.7;V;5;V;8;V;9;V;9.9;V;10.5;V;11.2;V;11.6;V;11.1;V;10.3;V;9.9;V;9.5;V;9.3;V
28;79;102;83;2023;2;19;8.9;V;8;V;7.6;V;7.4;V;7.4;V;6.3;V;5;V;4.8;V;4.7;V;4.5;V;5.3;V;7.3;V;9.6;V;11.5;V;12.9;V;14.1;V;14.7;V;15;V;15.1;V;14.8;V;13.9;V;13.8;V;13.2;V;12.4;V
28;79;102;83;2023;2;20;12;V;11.2;V;10.8;V;10.5;V;8.9;V;8.4;V;7.1;V;7;V;6.8;V;5.9;V;7;V;8.7;V;10.8;V;12.5;V;13.7;V;14.7;V;15.8;V;16.1;V;15.4;V;14.2;V;13;V;12.3;V;12;V;11.2;V
28;79;102;83;2023;2;21;10.5;V;10.1;V;9.3;V;8.6;V;7.8;V;6.9;V;6.2;V;6.1;V;5.7;V;5.9;V;6.5;V;7.5;V;9.4;V;11;V;13.5;V;14.1;V;14.8;V;14.5;V;13.7;V;12.8;V;12.1;V;11.3;V;10.2;V;9.6;V
28;79;102;83;2023;2;22;9.1;V;8.7;V;8;V;6.8;V;5.5;V;5.3;V;5.1;V;4.4;V;4.6;V;4.6;V;6.6;V;8.5;V;9.7;V;10.7;V;11.6;V;13.1;V;13.3;V;13.3;V;12.4;V;11.8;V;10.8;V;9.9;V;9;V;8.1;V
